SeatNumber,Category,Price,IsBooked,CustomerName
V1,VIP,5000.0,false,
V2,VIP,5000.0,true,Javed Iqbal
V3,VIP,5000.0,true,Omar Farooq
V4,VIP,5000.0,false,
V5,VIP,5000.0,true,Zara Saleem
V6,VIP,5000.0,true,Farhan Sheikh
V7,VIP,5000.0,false,
V8,VIP,5000.0,true,Nadeem Hassan
V9,VIP,5000.0,false,
V10,VIP,5000.0,true,Tariq Aziz
V11,VIP,5000.0,true,Aisha Bibi
V12,VIP,5000.0,false,
V13,VIP,5000.0,true,Rizwan Mahmood
V14,VIP,5000.0,false,
V15,VIP,5000.0,true,Sana Ali
V16,VIP,5000.0,true,Fatima Zahra
V17,VIP,5000.0,false,
V18,VIP,5000.0,true,Ahmad Khan
V19,VIP,5000.0,false,
V20,VIP,5000.0,true,Kinza Khan
V21,VIP,5000.0,true,Bilal Ahmed
V22,VIP,5000.0,false,
V23,VIP,5000.0,true,Wasim Akram
V24,VIP,5000.0,false,
V25,VIP,5000.0,true,Mahnoor Fatima
V26,VIP,5000.0,true,Iqra Nazir
V27,VIP,5000.0,false,
V28,VIP,5000.0,true,Qasim Raza
V29,VIP,5000.0,false,
V30,VIP,5000.0,true,Layla Anwar
V31,VIP,5000.0,true,Danish Ali
V32,VIP,5000.0,false,
V33,VIP,5000.0,true,Zeeshan Haider
V34,VIP,5000.0,false,
V35,VIP,5000.0,true,Usman Ghani
V36,VIP,5000.0,true,Hina Aslam
V37,VIP,5000.0,false,
V38,VIP,5000.0,true,Imran Butt
V39,VIP,5000.0,false,
V40,VIP,5000.0,true,Kamran Malik
V41,VIP,5000.0,true,Jameela Begum
V42,VIP,5000.0,false,
V43,VIP,5000.0,true,Rabia Sharif
V44,VIP,5000.0,false,
V45,VIP,5000.0,true,Nida Batool
V46,VIP,5000.0,true,Salman Khan
V47,VIP,5000.0,false,
V48,VIP,5000.0,true,Yasir Shah
V49,VIP,5000.0,false,
V50,VIP,5000.0,true,Ahmad Khan
P1,Premium,3000.0,false,
P2,Premium,3000.0,false,
P3,Premium,3000.0,true,Bilal Ahmed
P4,Premium,3000.0,false,
P5,Premium,3000.0,true,Zara Saleem
P6,Premium,3000.0,false,
P7,Premium,3000.0,true,Rizwan Mahmood
P8,Premium,3000.0,false,
P9,Premium,3000.0,false,
P10,Premium,3000.0,true,Kamran Malik
P11,Premium,3000.0,false,
P12,Premium,3000.0,true,Jameela Begum
P13,Premium,3000.0,false,
P14,Premium,3000.0,true,Nida Batool
P15,Premium,3000.0,false,
P16,Premium,3000.0,false,
P17,Premium,3000.0,true,Yasir Shah
P18,Premium,3000.0,false,
P19,Premium,3000.0,true,Farhan Sheikh
P20,Premium,3000.0,false,
P21,Premium,3000.0,true,Omar Farooq
P22,Premium,3000.0,false,
P23,Premium,3000.0,false,
P24,Premium,3000.0,true,Zeeshan Haider
P25,Premium,3000.0,false,
P26,Premium,3000.0,true,Imran Butt
P27,Premium,3000.0,false,
P28,Premium,3000.0,true,Mahnoor Fatima
P29,Premium,3000.0,false,
P30,Premium,3000.0,false,
P31,Premium,3000.0,true,Salman Khan
P32,Premium,3000.0,false,
P33,Premium,3000.0,true,Hina Aslam
P34,Premium,3000.0,false,
P35,Premium,3000.0,true,Tariq Aziz
P36,Premium,3000.0,false,
P37,Premium,3000.0,true,Aisha Bibi
P38,Premium,3000.0,false,
P39,Premium,3000.0,false,
P40,Premium,3000.0,true,Qasim Raza
P41,Premium,3000.0,false,
P42,Premium,3000.0,true,Rabia Sharif
P43,Premium,3000.0,false,
P44,Premium,3000.0,true,Usman Ghani
P45,Premium,3000.0,false,
P46,Premium,3000.0,false,
P47,Premium,3000.0,true,Nadeem Hassan
P48,Premium,3000.0,false,
P49,Premium,3000.0,true,Wasim Akram
P50,Premium,3000.0,false,
P51,Premium,3000.0,true,Kinza Khan
P52,Premium,3000.0,false,
